country,version,ip,prefixlength,state,orgsflat
*,ipv6,2400:bb40::,32,reserved,*
*,ipv6,2400:c060::,32,reserved,*
*,ipv6,2400:c420::,32,reserved,*
*,ipv6,2400:c460::,32,reserved,*
*,ipv6,2400:c720::,32,reserved,*
*,ipv6,2400:c780::,32,reserved,*
*,ipv6,2400:cee0::,32,reserved,*
*,ipv6,2400:d2a0::,32,reserved,*
*,ipv6,2400:d420::,32,reserved,*
*,ipv6,2400:d8e0::,32,reserved,*
*,ipv6,2400:dc80::,32,reserved,*
*,ipv6,2400:e800::,32,reserved,*
*,ipv6,2400:f180::,32,reserved,*
*,ipv6,2400:fea0::,32,reserved,*
*,ipv6,2401:11a0::,32,reserved,*
