version,ip,prefixlength
ipv6,2401:4980::,25
ipv6,2401:4dc0::,32
ipv6,2401:5440::,32
ipv6,2401:54c0::,32
ipv6,2401:5880::,32
ipv6,2401:5b80::,32
ipv6,2401:7600::,32
ipv6,2401:77c0::,32
ipv6,2401:7900::,32
ipv6,2401:79c0::,32
ipv6,2401:8100::,32
ipv6,2401:83c0::,32
ipv6,2401:8c40::,32
ipv6,2401:8c80::,32
ipv6,2401:8cc0::,32
ipv6,2401:8e40::,32
ipv6,2401:9380::,32
ipv6,2401:9840::,32
ipv6,2401:9980::,32
ipv6,2401:9fc0::,32
ipv6,2401:a900::,32
ipv6,2401:c880::,32
ipv6,2401:ca80::,32
ipv6,2401:cd00::,32
ipv6,2401:d580::,32
ipv6,2401:e100::,32
ipv6,2401:e400::,32
ipv6,2401:eb00::,32
ipv6,2401:eb80::,32
ipv6,2401:eec0::,32
ipv6,2401:f380::,32
ipv6,2401:f500::,32
ipv6,2401:f740::,32
ipv6,2401:fac0::,32
ipv6,2401:fc40::,32
ipv6,2402:12c0::,32
ipv6,2402:1780::,32
ipv6,2402:1b00::,32
ipv6,2402:25c0::,32
ipv6,2402:2780::,32
ipv6,2402:29c0::,32
ipv6,2402:2d40::,32
ipv6,2402:2e40::,32
ipv6,2402:3e40::,32
ipv6,2402:3f40::,32
ipv6,2402:4780::,32
ipv6,2402:4980::,32
ipv6,2402:4dc0::,32
ipv6,2402:5240::,32
ipv6,2402:5780::,32
ipv6,2402:5980::,32
ipv6,2402:5c00::,32
ipv6,2402:5d80::,32
ipv6,2402:65c0::,32
ipv6,2402:6cc0::,32
ipv6,2402:6dc0::,32
ipv6,2402:7180::,32
ipv6,2402:7300::,32
ipv6,2402:74c0::,32
ipv6,2402:7c80::,32
ipv6,2402:8080::,32
ipv6,2402:8140::,32
ipv6,2402:8280::,32
ipv6,2402:8740::,32
ipv6,2402:87c0::,32
ipv6,2402:8e80::,32
ipv6,2402:9380::,32
ipv6,2402:9a40::,32
ipv6,2402:9e40::,32
ipv6,2402:a5c0::,32
ipv6,2402:b380::,32
ipv6,2402:b3c0::,32
ipv6,2402:bec0::,32
ipv6,2402:bf00::,32
ipv6,2402:cbc0::,32
ipv6,2402:cc80::,32
ipv6,2402:cfc0::,32
ipv6,2402:d280::,32
ipv6,2402:d401::,32
ipv6,2402:d402::,31
ipv6,2402:d404::,30
ipv6,2402:d408::,29
ipv6,2402:d410::,28
ipv6,2402:d420::,27
ipv6,2402:d440::,26
ipv6,2402:d480::,25
ipv6,2402:d940::,32
ipv6,2402:db80::,32
ipv6,2402:dd80::,32
ipv6,2402:e440::,32
ipv6,2402:e9c0::,32
ipv6,2402:ec40::,32
ipv6,2402:ee40::,32
ipv6,2402:efc0::,32
ipv6,2402:f340::,32
ipv6,2402:f4c0::,32
ipv6,2402:f640::,32
ipv6,2402:f880::,32
ipv6,2402:fb40::,32
ipv6,2402:fe40::,32
ipv6,2403:13c0::,32
ipv6,2403:1640::,32
ipv6,2403:1c40::,32
ipv6,2403:1f40::,32
ipv6,2403:2d80::,32
ipv6,2403:3ac0::,32
ipv6,2403:4200::,32
ipv6,2403:4480::,32
ipv6,2403:4740::,32
ipv6,2403:47c0::,32
ipv6,2403:48c0::,32
ipv6,2403:4c40::,32
ipv6,2403:4d40::,32
ipv6,2403:4e00::,32
ipv6,2403:5180::,32
ipv6,2403:5300::,32
ipv6,2403:5dc0::,32
ipv6,2403:6140::,32
ipv6,2403:68c0::,32
ipv6,2403:70c0::,32
ipv6,2403:7640::,32
ipv6,2403:7ac0::,32
ipv6,2403:7d40::,32
ipv6,2403:7fc0::,32
ipv6,2403:8240::,32
ipv6,2403:8d40::,32
ipv6,2403:8f80::,32
ipv6,2403:91c0::,32
ipv6,2403:9240::,32
ipv6,2403:92c0::,32
ipv6,2403:9440::,32
ipv6,2403:9540::,32
ipv6,2403:9640::,32
ipv6,2403:9cc0::,32
ipv6,2403:a180::,32
ipv6,2403:a440::,32
ipv6,2403:a5c0::,32
ipv6,2403:aec0::,32
ipv6,2403:b500::,32
ipv6,2403:b5c0::,32
ipv6,2403:b8c0::,32
ipv6,2403:c5c0::,32
ipv6,2403:c6c0::,32
ipv6,2403:c840::,32
ipv6,2403:c880::,31
ipv6,2403:ca40::,32
ipv6,2403:cac0::,32
ipv6,2403:cb40::,32
ipv6,2403:ccc0::,32
ipv6,2403:d040::,32
ipv6,2403:d540::,32
ipv6,2403:d740::,32
ipv6,2403:d840::,32
ipv6,2403:db40::,32
ipv6,2403:dbc0::,32
ipv6,2403:dec0::,32
ipv6,2403:e5c0::,32
ipv6,2403:efc0::,32
ipv6,2403:f140::,32
ipv6,2403:f6c0::,32
ipv6,2403:f780::,32
ipv6,2403:f840::,32
ipv6,2404:1440::,32
ipv6,2404:1bc0::,32
ipv6,2404:1e40::,32
ipv6,2404:20c0::,32
ipv6,2404:2140::,32
ipv6,2404:2180::,32
ipv6,2404:2240::,32
ipv6,2404:2740::,32
ipv6,2404:27c0::,32
ipv6,2404:2880::,32
ipv6,2404:2900::,32
ipv6,2404:2d40::,32
ipv6,2404:2e40::,32
ipv6,2404:3540::,32
ipv6,2404:3601::,32
ipv6,2404:3ac0::,32
ipv6,2404:4700::,32
ipv6,2404:49c0::,32
ipv6,2404:5040::,32
ipv6,2404:5240::,32
ipv6,2404:56c0::,32
ipv6,2404:5940::,32
ipv6,2404:5e80::,32
ipv6,2404:66c0::,32
ipv6,2404:6ec0::,32
ipv6,2404:7001::,32
ipv6,2404:7002::,31
ipv6,2404:7004::,30
ipv6,2404:7008::,29
ipv6,2404:7010::,28
ipv6,2404:7020::,27
ipv6,2404:7040::,26
ipv6,2404:7080::,25
ipv6,2404:7640::,32
ipv6,2404:7dc0::,32
ipv6,2404:7f00::,32
ipv6,2404:8780::,32
ipv6,2404:9080::,32
ipv6,2404:9380::,32
ipv6,2404:9640::,32
ipv6,2404:9680::,32
ipv6,2404:96c0::,32
ipv6,2404:9780::,32
ipv6,2404:9880::,32
ipv6,2404:9d40::,32
ipv6,2404:9f80::,32
ipv6,2404:a440::,32
ipv6,2404:a540::,32
ipv6,2404:a780::,32
ipv6,2404:a801::,32
ipv6,2404:a802::,31
ipv6,2404:a804::,30
ipv6,2404:a808::,29
ipv6,2404:a810::,28
ipv6,2404:a820::,27
ipv6,2404:a840::,26
ipv6,2404:a880::,25
ipv6,2404:a900::,24
ipv6,2404:ab40::,32
ipv6,2404:aec0::,32
ipv6,2404:af00::,32
ipv6,2404:b380::,32
ipv6,2404:b500::,32
ipv6,2404:b540::,32
ipv6,2404:b840::,32
ipv6,2404:b980::,32
ipv6,2404:bcc0::,32
ipv6,2404:bd80::,32
ipv6,2404:c080::,32
ipv6,2404:c0c0::,32
ipv6,2404:c500::,32
ipv6,2404:cb80::,32
ipv6,2404:d480::,32
ipv6,2404:d740::,32
ipv6,2404:d780::,32
ipv6,2404:d880::,32
ipv6,2404:dbc0::,32
ipv6,2404:dcc0::,32
ipv6,2404:dec0::,32
ipv6,2404:df80::,32
ipv6,2404:dfc0::,32
ipv6,2404:e0c0::,32
ipv6,2404:e180::,32
ipv6,2404:e340::,32
ipv6,2404:eac0::,32
ipv6,2404:eb40::,32
ipv6,2404:ed80::,32
ipv6,2404:ee40::,32
ipv6,2404:f280::,32
ipv6,2404:f540::,32
ipv6,2404:fdc0::,32
ipv6,2405:1600::,32
ipv6,2405:1900::,32
ipv6,2405:1d00::,32
ipv6,2405:2640::,32
ipv6,2405:2940::,32
ipv6,2405:2b40::,32
ipv6,2405:3180::,32
ipv6,2405:3280::,32
ipv6,2405:3580::,32
ipv6,2405:3a40::,32
ipv6,2405:3b40::,32
ipv6,2405:40c0::,32
ipv6,2405:4940::,32
ipv6,2405:5b00::,32
ipv6,2405:5ec0::,32
ipv6,2405:5f40::,32
ipv6,2405:6140::,32
ipv6,2405:6840::,32
ipv6,2405:72c0::,32
ipv6,2405:7340::,32
ipv6,2405:7cc0::,32
ipv6,2405:7e80::,32
ipv6,2405:83c0::,32
ipv6,2405:8640::,32
ipv6,2405:89c0::,32
ipv6,2405:8b40::,32
ipv6,2405:8ec0::,32
ipv6,2405:8f40::,32
ipv6,2405:9100::,32
ipv6,2405:9640::,32
ipv6,2405:96c0::,32
ipv6,2405:9740::,32
ipv6,2405:98c0::,32
ipv6,2405:a380::,32
ipv6,2405:a5c0::,32
ipv6,2405:abc0::,32
ipv6,2405:b780::,32
ipv6,2405:b840::,32
ipv6,2405:cfc0::,32
ipv6,2405:d2c0::,32
ipv6,2405:d480::,32
ipv6,2405:dc01::,32
ipv6,2405:dc02::,31
ipv6,2405:dc04::,30
ipv6,2405:dc08::,29
ipv6,2405:dc10::,28
ipv6,2405:dc20::,27
ipv6,2405:dc40::,26
ipv6,2405:dc80::,25
ipv6,2405:dd00::,24
ipv6,2405:e080::,32
ipv6,2405:e300::,32
ipv6,2405:e380::,32
ipv6,2405:e740::,32
ipv6,2405:eac0::,32
ipv6,2405:ec80::,32
ipv6,2405:f100::,32
ipv6,2405:f180::,32
ipv6,2405:f1c0::,32
ipv6,2405:f480::,32
ipv6,2405:f740::,32
